"Year","Population size"
1970-01-01,129.9
1971-01-01,130.6
1972-01-01,131.3
1973-01-01,132.1
1974-01-01,132.8
1975-01-01,133.6
1976-01-01,134.5
1977-01-01,135.5
1978-01-01,136.5
1979-01-01,137.4
1980-01-01,138.1
1981-01-01,138.8
1982-01-01,139.6
1983-01-01,140.5
1984-01-01,141.6
1985-01-01,142.5
1986-01-01,143.6
1987-01-01,144.8
1988-01-01,146.0
1989-01-01,147.0
1990-01-01,147.7
1991-01-01,148.3
1996-01-01,148.3
2001-01-01,146.3
2002-01-01,145.2
2003-01-01,145.0
2004-01-01,144.3
2005-01-01,143.8
2006-01-01,143.2
2007-01-01,142.8
2008-01-01,142.8
2009-01-01,142.7
2010-01-01,142.9
2011-01-01,142.9
2012-01-01,143.2
2013-01-01,143.6
2014-01-01,144.0
2015-01-01,146.7
2016-01-01,147.2
2017-01-01,147.6
2018-01-01,147.8
2019-01-01,147.8
2020-01-01,147.9
2021-01-01,147.4
2022-01-01,147.0
2023-01-01,146.4
2024-01-01,146.1
